index,cwe key word,matched key word,file,func,hunk,function_name,note,repo,branch,url,testcase
11,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},3(1),2,2,"['isDefaultDockerInstalled', 'isDockerInstalled']",,jib,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/add-windows-ci', 'remotes/origin/cli-integration', 'remotes/origin/commons-compress-1.23.0', 'remotes/origin/dependabot/github_actions/actions/download-artifact-4', 'remotes/origin/dependabot/github_actions/actions/setup-java-4', 'remotes/origin/dependabot/github_actions/dot-github/workflows/actions/download-artifact-4.1.7', 'remotes/origin/dependabot/github_actions/slsa-framework/slsa-github-generator-2.0.0', 'remotes/origin/dependabot/gradle/com.fasterxml.jackson-jackson-bom-2.17.2', 'remotes/origin/dependabot/gradle/com.uber.nullaway-nullaway-0.11.3', 'remotes/origin/dependabot/gradle/org.apache.maven-maven-plugin-api-3.9.4', 'remotes/origin/dependabot/gradle/org.slf4j-slf4j-api-2.0.9', 'remotes/origin/dependabot/gradle/org.sonarqube-5.1.0.4882', 'remotes/origin/gradle8-build', 'remotes/origin/jib-continuous', 'remotes/origin/master', 'remotes/origin/nullway-0.10.0', 'remotes/origin/test-windows']",https://github.com/GoogleContainerTools/jib/commit/67fa40bc2c484da0546333914ea07a89fe44eaaf,"{'CliDockerClient.java': 2, 'CliDockerClientTest.java': 0, 'CliDockerClient': 1}"
12,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),0,0,[],,slf4j,"['master', 'remotes/origin/2.0', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/bom', 'remotes/origin/branch_2.1.x', 'remotes/origin/master']",https://github.com/qos-ch/slf4j/commit/d2b27fba88e983f921558da27fc29b5f5d269405,"{'EventData.java': 0, 'EventException.java': 0, 'EventLogger.java': 0, 'EventLoggerTest.java': 0, 'PackageTest.java': 0, 'EventLogger': 1, 'Package': 1}"
13,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},19(3),1,3,"[None, None, None]",,slf4j,['remotes/origin/1.7-maintenance'],https://github.com/qos-ch/slf4j/commit/918a055bdf87867f69693cf82727fa435c489e25,"{'EventData.java': 0, 'EventException.java': 0, 'EventLogger.java': 0, 'EventLoggerTest.java': 0, 'PackageTest.java': 0, 'EventLogger': 1, 'Package': 1}"
14,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},4(4),4,21,"[None, None, None, None, None, None, None, 'webFilterChainPostProcessor', 'webFilterChainPostProcessor', 'webFilterChainPostProcessor', 'postProcess', None, None, None, None, None, 'customize', None, None, None, None]",,spring-boot,"['main', 'remotes/origin/2.7.x', 'remotes/origin/3.0.x', 'remotes/origin/3.1.x', 'remotes/origin/3.2.x', 'remotes/origin/3.3.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main']",https://github.com/spring-projects/spring-boot/commit/3522714c13b47af03bf42e7f2d5994af568cb1a7,"{'CloudFoundryWebFluxEndpointHandlerMapping.java': 0, 'ReactiveCloudFoundryActuatorAutoConfiguration.java': 0, 'CloudFoundryActuatorAutoConfiguration.java': 0, 'CloudFoundryWebEndpointServletHandlerMapping.java': 0, 'CloudFoundryWebFluxEndpointIntegrationTests.java': 0, 'ReactiveCloudFoundryActuatorAutoConfigurationTests.java': 0, 'CloudFoundryActuatorAutoConfigurationTests.java': 0, 'CloudFoundryMvcWebEndpointIntegrationTests.java': 0, 'CloudFoundryWebFluxEndpointIntegration': 1, 'ReactiveCloudFoundryActuatorAutoConfiguration': 1, 'CloudFoundryActuatorAutoConfiguration': 1, 'CloudFoundryMvcWebEndpointIntegration': 1}"
15,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},4(4),4,21,"[None, None, None, None, None, None, None, 'webFilterChainPostProcessor', 'webFilterChainPostProcessor', 'webFilterChainPostProcessor', 'postProcess', None, None, None, None, None, 'customize', None, None, None, None]",,spring-boot,"['main', 'remotes/origin/2.7.x', 'remotes/origin/3.0.x', 'remotes/origin/3.1.x', 'remotes/origin/3.2.x', 'remotes/origin/3.3.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main']",https://github.com/spring-projects/spring-boot/commit/3522714c13b47af03bf42e7f2d5994af568cb1a7,"{'CloudFoundryWebFluxEndpointHandlerMapping.java': 0, 'ReactiveCloudFoundryActuatorAutoConfiguration.java': 0, 'CloudFoundryActuatorAutoConfiguration.java': 0, 'CloudFoundryWebEndpointServletHandlerMapping.java': 0, 'CloudFoundryWebFluxEndpointIntegrationTests.java': 0, 'ReactiveCloudFoundryActuatorAutoConfigurationTests.java': 0, 'CloudFoundryActuatorAutoConfigurationTests.java': 0, 'CloudFoundryMvcWebEndpointIntegrationTests.java': 0, 'CloudFoundryWebFluxEndpointIntegration': 1, 'ReactiveCloudFoundryActuatorAutoConfiguration': 1, 'CloudFoundryActuatorAutoConfiguration': 1, 'CloudFoundryMvcWebEndpointIntegration': 1}"
16,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),1,9,"[None, None, None, None, None, None, None, None, None]",,spring-framework,"['main', 'remotes/origin/6.0.x', 'remotes/origin/6.1.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main']",https://github.com/spring-projects/spring-framework/commit/8010de8b63057af06984df5c7550ba99d006e909,"{'SpelMessage.java': 0, 'OperatorMatches.java': 0, 'EvaluationTests.java': 0, 'Evaluation': 1}"
17,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),1,11,"[None, None, None, None, None, None, None, None, None, None, None]",,spring-framework,['remotes/origin/5.3.x'],https://github.com/spring-projects/spring-framework/commit/26e0343c1638d59a28a7991bfcaed32dbc4996e4,"{'SpelMessage.java': 0, 'OperatorMatches.java': 0, 'EvaluationTests.java': 0, 'Evaluation': 1}"
18,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),1,11,"[None, None, None, None, None, None, None, None, None, None, None]",,spring-framework,['remotes/origin/5.2.x'],https://github.com/spring-projects/spring-framework/commit/b9b31afcc905cd9d5e63739ff5920d849f7f20f0,"{'SpelMessage.java': 0, 'OperatorMatches.java': 0, 'EvaluationTests.java': 0, 'Evaluation': 1}"
19,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(2),1,11,"[None, None, None, None, None, None, None, None, None, None, None]",,spring-framework,['remotes/origin/5.2.x'],https://github.com/spring-projects/spring-framework/commit/b9b31afcc905cd9d5e63739ff5920d849f7f20f0,"{'SpelMessage.java': 0, 'OperatorMatches.java': 0, 'EvaluationTests.java': 0, 'Evaluation': 1}"
20,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},14(14),7,45,"[None, None, None, None, None, None, None, None, None, None, 'AMQCommand', 'AMQCommand', 'AMQCommand', None, None, 'getTrafficListener', None, None, 'AbstractFrameHandlerFactory', None, 'CommandAssembler', 'CommandAssembler', None, None, 'getCredentialsRefreshService', None, None, None, None, None, None, None, None, None, None, None, None, 'FrameBuilder', None, None, None, None, None, None, None]",,rabbitmq-java-client,['remotes/origin/5.x.x-stable'],https://github.com/rabbitmq/rabbitmq-java-client/commit/714aae602dcae6cb4b53cadf009323ebac313cc8,"{'ConnectionFactory.java': 0, 'AMQChannel.java': 0, 'AMQCommand.java': 0, 'AMQConnection.java': 0, 'AbstractFrameHandlerFactory.java': 0, 'CommandAssembler.java': 0, 'ConnectionParams.java': 0, 'Frame.java': 0, 'SocketFrameHandler.java': 0, 'SocketFrameHandlerFactory.java': 0, 'FrameBuilder.java': 0, 'SocketChannelFrameHandlerFactory.java': 0, 'SocketChannelFrameHandlerState.java': 0, 'SslEngineFrameBuilder.java': 0, 'FrameBuilderTest.java': 0, 'MaxInboundMessageSizeTest.java': 0, 'TestUtils.java': 0, 'FrameBuilder': 1, 'MaxInboundMessageSize': 1, 'Utils': 1}"
